Symbol,Company,Sector,Sub Sector
KOLTEPATIL,Kolte - Patil Developers Limited,Construction,Construction & Contracting - Housing
KOPRAN,Kopran Limited,Pharmaceuticals,Pharmaceuticals
KOTAKBANK,Kotak Mahindra Bank Limited,Banks - Private,Finance - Banks - Private Sector
KOTAKGOLD,,ETF,Gold
KOTAKNIFTY,,ETF,Nifty
KOTAKPSUBK,,ETF,CNX PSU Bank Index
KOTARISUG,Kothari Sugars And Chemicals Limited,Sugar,Sugar - Integrated
KOTHARIPET,Kothari Petrochemicals Limited,Trading,Trading
KOTHARIPRO,Kothari Products Limited,Misc,Pan Masala/Tobbacco Products
KPIT,,Computers,Computers - Software
KPRMILL,K.P.R. Mill Limited,Textiles,Textiles - Readymade Apparels
KRBL,KRBL Limited,Commodities,Commodities - Trading - Rice
KSBPUMPS,,Misc,Pumps
KSCL,Kaveri Seed Company Limited,Misc,Seeds/Tissue Culture/Bio Technology
KSL,Kalyani Steels Limited,Steel,Medium / Small
KTIL,,Misc,Storage
KTKBANK,The Karnataka Bank Limited,Banks - Private,Finance - Banks - Private Sector
KWALITY,kwality limited,Food Processing,Food Processing - Dairy
L&TFH,L&T Finance Holdings Limited,Finance,Finance - Investments
LAKPRE,Lakshmi Precision Screws Limited,Misc,Fasteners
LAKSHMIEFL,,Commodities,Commodities - Trading - Rice
LAKSHVILAS,Lakshmi Vilas Bank Limited,Banks - Private,Finance - Banks - Private Sector
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,Healthcare
LAMBODHARA,Lambodhara Textiles Limited,Textiles,Textiles - Spinning - Cotton Blended
LAOPALA,La Opala RG Limited,Glass,Glass - Others
LAURUSLABS,Laurus Labs Limited,,
LAXMIMACH,Lakshmi Machine Works Limited,Textiles,Textiles - Machinery
LGBBROSLTD,LG Balakrishnan & Bros Limited,Engineering,Engineering - General
LIBERTSHOE,Liberty Shoes Limited,Leather,Leather/Synthetic - Footwear
LICHSGFIN,LIC Housing Finance Limited,Finance,Finance - Housing
LINCOLN,Lincoln Pharmaceuticals Limited,Pharmaceuticals,Formulations
LINCPEN,Linc Pen & Plastics Limited,Printing,Printing/Publishing/Stationery
LINDEINDIA,Linde India Limited,Chemicals,Chemicals
LIQUIDBEES,,ETF,Government Securities
LITL,,Infrastructure,Infrastructure - General
LLOYDELENG,,Air Conditioners,Air Conditioners
LML,,Auto,Auto - 2 & 3 Wheelers
LOKESHMACH,Lokesh Machines Limited,Misc,Machine Tools
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Medical,Hospitals & Medical Services
LOVABLE,Lovable Lingerie Limited,Textiles,Textiles - Readymade Apparels
LPDC,Landmark Property Development Company Limited,Construction,Construction and Contracting - Real Estate
LSIL,Lloyds Steels Industries Limited,,
LT,Larsen & Toubro Limited,Diversified,Diversified
LTI,Larsen & Toubro Infotech Limited,,
LTTS,L&T Technology Services Limited,,
LUMAXIND,Lumax Industries Limited,Auto Ancl,Auto Ancl - Equipment Lamp
LUMAXTECH,Lumax Auto Technologies Limited,Auto Ancl,Auto Ancillaries
LUPIN,Lupin Limited,Pharmaceuticals,Pharmaceuticals
LUXIND,Lux Industries Limited,Textiles,Textiles - Composite Mills
LYKALABS,Lyka Labs Limited,Pharmaceuticals,Pharmaceuticals
LYPSAGEMS,Lypsa Gems & Jewellery Limited,Jewellery,Diamond Cutting/Precious Metals/Jewellery
M&M,Mahindra & Mahindra Limited,Auto,Car-Jeeps-Tractors
M&MFIN,Mahindra & Mahindra Financial Services Limited,Finance,Finance - Leasing & Hire Purchase
MAANALU,Maan Aluminium Limited,Aluminium,Aluminium
MADHAV,Madhav Marbles and Granites Limited,Misc,Miscellaneous
MADHUCON,Madhucon Projects Limited,Construction,Construction & Contracting - Civil
MAGMA,Magma Fincorp Limited,Finance,Finance - Investments
MAGNUM,Magnum Ventures Limited,Paper,Paper & Paper Boards
MAHABANK,Bank of Maharashtra,Banks - PSU,Finance - Banks - Public Sector
MAHASTEEL,Mahamaya Steel Industries Limited,,
MAHINDCIE,Mahindra CIE Automotive Limited,Castings,Castings/Foundry
MAHLIFE,Mahindra Lifespace Developers Limited,Construction,Construction & Contracting - Civil
MAHSCOOTER,Maharashtra Scooters Limited,Auto,Auto - 2 & 3 Wheelers
MAHSEAMLES,Maharashtra Seamless Limited,Steel,Steel - Seamless Tubes
MAITHANALL,Maithan Alloys Limited,Mining,Minerals / Metals
MAJESCO,Majesco Limited,Computers,Software - Medium / Small
MALUPAPER,Malu Paper Mills Limited,Paper,Paper - News Print
MANAKCOAT,Manaksia Coated Metals & Industries Limited,Steel,Medium / Small
MANAKSIA,Manaksia Limited,Packaging,Packaging - Metallic
MANAKSTEEL,Manaksia Steels Limited,Steel,Medium / Small
MANALIPETC,Manali Petrochemicals Limited,Petrochem,Petrochem - Polymers
MANAPPURAM,Manappuram Finance Limited,Finance,Finance - Leasing & Hire Purchase
MANDHANA,,Textiles,Textiles - Manmade Fibre - Rayon
MANGALAM,Mangalam Drugs And Organics Limited,Pharmaceuticals,Bulk Drugs & Formln
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
MANGLMCEM,Mangalam Cement Limited,Cement,Cement - Major
MANGTIMBER,Mangalam Timber Products Limited,Consumer Goods,Decoratives - Wood Based
MANINDS,Man Industries (India) Limited,Steel,Steel - Tubes/Pipes
MANINFRA,Man Infraconstruction Limited,Construction,Construction & Contracting - Civil
MANPASAND,Manpasand Beverages Limited,Food Processing,Indian
MANUGRAPH,Manugraph India Limited,Engineering,Engineering - General
MARALOVER,Maral Overseas Limited,Textiles,Textiles - Spinning - Cotton Blended
MARATHON,Marathon Nextgen Realty Limited,,
MARICO,Marico Limited,FMCG,Personal Care
MARKSANS,Marksans Pharma Limited,Pharmaceuticals,Pharmaceuticals
MARUTI,Maruti Suzuki India Limited,Auto,Auto - Cars & Jeeps
MASTEK,Mastek Limited,Computers,Computers - Software
MAWANASUG,Mawana Sugars Limited,Sugar,Sugar - Others
MAXINDIA,Max India Limited,,
MAXVIL,Max Ventures and Industries Limited,,
MAYURUNIQ,Mayur Uniquoters Ltd,Plastics,Products
MAZDA,Mazda Limited,,
MBECL,Mcnally Bharat Engineering Company Limited,Engineering,Turnkey Services
MBLINFRA,MBL Infrastructures Limited,Construction,Construction & Contracting - Civil
MCDHOLDING,McDowell Holdings Limited,,
MCDOWELL-N,United Spirits Limited,Beverages,Beverages - Alcoholic - Distilleries
MCLEODRUSS,Mcleod Russel India Limited,Tea-Coffee,Plantations - Tea & Coffee
MCX,Multi Commodity Exchange of India Limited,Misc,Miscellaneous
MEGASOFT,Megasoft Limited,Computers,Computers - Software
MEGH,Meghmani Organics Limited,Agro,Pesticides/Agro Chemicals
MENONBE,Menon Bearings Limited,,
MEP,MEP Infrastructure Developers Limited,Construction,Construction
MERCATOR,Mercator Limited,Shipping,Shipping
MERCK,,Pharmaceuticals,Pharmaceuticals
METALFORGE,Metalyst Forgings Limited,Castings,Castings/Foundry
MFSL,Max Financial Services Limited,Packaging,Packaging - Others
MGL,Mahanagar Gas Limited,,
MHRIL,Mahindra Holidays & Resorts India Limited,Hotels,Resorts
MIC,MIC Electronics Limited,Electronics,Electronics - Others
MINDACORP,Minda Corporation Limited,Auto Ancl,Auto Ancillaries
MINDAIND,Minda Industries Limited,Auto Ancl,Auto Ancillaries
MINDTECK,Mindteck (India) Limited,,
MINDTREE,MindTree Limited,Computers,Computers - Software
MIRCELECTR,MIRC Electronics Limited,Consumer Goods,Consumer Goods - Electronic
MIRZAINT,Mirza International Limited,Leather,Leather/Synthetic - Footwear
MMFL,MM Forgings Limited,Auto Ancl,Forgings
MMTC,MMTC Limited,Trading,Trading
MOHITIND,Mohit Industries Limited,Textiles,Textiles - Processing/Texturising
MOIL,MOIL Limited,,
MOLDTECH,Mold-Tek Technologies Limited,,
MOLDTKPAC,Mold-Tek Packaging Limited,Plastics,Products
MONNETISPA,,Steel,Steel - Sponge Iron
MONSANTO,,Agro,Pesticides/Agro Chemicals
MONTECARLO,Monte Carlo Fashions Limited,Textiles,Products
MORARJEE,Morarjee Textiles Limited,Textiles,Products
MOREPENLAB,Morepen Laboratories Limited,Pharmaceuticals,Pharmaceuticals
MOSERBAER,,Computers,Computers - Accessories/Peripherals
MOTHERSUMI,Motherson Sumi Systems Limited,Auto Ancl,Auto Ancl - Electrical
MOTILALOFS,Motilal Oswal Financial Services Limited,Finance,Finance - General
MPHASIS,MphasiS Limited,Computers,Computers - Software
MPSLTD,MPS Limited,Printing,Printing/Publishing/Stationery
MRF,MRF Limited,Auto Ancl,Tyres & Tubes
MRO-TEK,MRO-TEK Realty Limited,Computers,Computers - Hardware
MRPL,Mangalore Refinery and Petrochemicals Limited,Refineries,Refineries
MSPL,MSP Steel & Power Limited,Steel,Steel - Sponge Iron
MTEDUCARE,MT Educare Limited,Misc,Miscellaneous
MTNL,Mahanagar Telephone Nigam Limited,Telecom,Telecommunications - Service
MUKANDENGG,Mukand Engineers Limited,Computers,Project Consultancy/Turnkey
MUKANDLTD,Mukand Limited,Steel,Steel - Alloys/Special
MUKTAARTS,Mukta Arts Limited,Entertainment,Entertainment/Multi Media
MUNJALAU,Munjal Auto Industries Limited,Auto Ancl,Auto Ancl - Others
MUNJALSHOW,Munjal Showa Limited,Auto Ancl,Auto Ancl - Shock Absorber
MUTHOOTCAP,Muthoot Capital Services Limited,Finance,Finance - Investments
MUTHOOTFIN,Muthoot Finance Limited,Finance,Finance - Investments
MVL,,Construction,Construction
NAGAAGRI,,,
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,,
NAGAROIL,,Refineries,Refineries
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,Finance,Finance - Investments
NAGREEKEXP,Nagreeka Exports Limited,Textiles,Textiles - Spinning - Cotton Blended
NAHARCAP,Nahar Capital and Financial Services Limited,Finance,Finance - Investments
NAHARINDUS,Nahar Industrial Enterprises Limited,Textiles,Textiles - Composite Mills
NAHARPOLY,Nahar Poly Films Limited,Textiles,Textiles - Spinning - Cotton Blended
NAHARSPING,Nahar Spinning Mills Limited,Textiles,Textiles - Hosiery/Knitwear
NATCOPHARM,Natco Pharma Limited,Pharmaceuticals,Pharmaceuticals
NATHBIOGEN,Nath Bio-Genes (India) Limited,Misc,Miscellaneous
NATIONALUM,National Aluminium Company Limited,Aluminium,Aluminium
NAUKRI,Info Edge (India) Limited,Misc,Services - Others
NAVINFLUOR,Navin Fluorine International Limited,Chemicals,Chemicals - Others
NAVKARCORP,Navkar Corporation Limited,Misc,Miscellaneous
NAVNETEDUL,Navneet Education Limited,Printing,Printing/Publishing/Stationery
NBCC,NBCC (India) Limited,Construction,Construction
NBVENTURES,Nava Bharat Ventures Limited,Diversified,Diversified
NCC,NCC Limited,Construction,Construction & Contracting - Civil
NCLIND,NCL Industries Limited,Cement,Cement - Mini
NDGL,Naga Dhunseri Group Limited,,
NDL,Nandan Denim Limited,Textiles,Products
NDTV,New Delhi Television Limited,Entertainment,Entertainment/Multi Media
NECCLTD,North Eastern Carrying Corporation Limited,Misc,Miscellaneous
NECLIFE,Nectar Lifesciences Limited,Pharmaceuticals,Pharmaceuticals
NELCAST,Nelcast Limited,Castings,Castings/Foundry
NELCO,NELCO Limited,Telecom,Telecommunications - Equipment
NESCO,Nesco Limited,Diversified,Diversified
NESTLEIND,Nestle India Limited,Food Processing,Food Processing - Dairy
NETWORK18,Network18 Media & Investments Limited,Finance,Finance - General
NEULANDLAB,Neuland Laboratories Limited,Pharmaceuticals,Pharmaceuticals
NFL,National Fertilizers Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
NH,Narayana Hrudayalaya Ltd.,Medical,Hospitals & Medical Services
NHPC,NHPC Limited,Power,Power - Generation/Distribution
NIBL,NRB Industrial Bearings Limited,,
NIFTY,,Index,Index
NIFTYBEES,,ETF,Nifty
NIFTYINFRA,,Index,Index
NIFTYIT,,Index,Index
NIFTYMID50,,Index,Index
NIFTYPSE,,Index,Index
NIITLTD,NIIT Limited,Computers,Computers - Software - Training
NIITTECH,NIIT Technologies Limited,Computers,Computers - Software
NILAINFRA,Nila Infrastructures Limited,Construction,Construction
NILKAMAL,Nilkamal Limited,Plastics,Plastics - Others
NIPPOBATRY,Indo-National Limited,Dry Cells,Dry Cells
NITCO,Nitco Limited,Ceramics,Ceramics/Tiles/Sanitaryware
NITESHEST,,Construction,Construction
NITINFIRE,Nitin Fire Protection Industries Limited,Engineering,Engineering - General
NITINSPIN,Nitin Spinners Limited,Textiles,Textiles - Spinning - Cotton Blended
NKIND,NK Industries Limited,,
NLCINDIA,NLC India Limited,,
NMDC,NMDC Limited,Mining,Mining/Minerals
NOCIL,NOCIL Limited,Petrochem,Petrochem - Polymers
NOIDATOLL,Noida Toll Bridge Company Limited,Construction,Construction & Contracting - Civil
NRAIL,N R Agarwal Industries Limited,,
NRBBEARING,NRB Bearing Limited,Auto Ancl,Bearings
NSIL,Nalwa Sons Investments Limited,Finance,Finance - General
NTL,Neueon Towers Limited,,
NTPC,NTPC Limited,Power,Power - Generation/Distribution
NUCLEUS,Nucleus Software Exports Limited,Computers,Computers - Software
NUTEK,,Telecom,Telecommunications - Equipment
OBEROIRLTY,Oberoi Realty Limited,Construction,Construction and Contracting - Real Estate
OCCL,Oriental Carbon & Chemicals Limited,Chemicals,Chemicals
OCL,,Cement,Cement - Major
OFSS,Oracle Financial Services Software Limited,Computers,Computers - Software
OIL,Oil India Limited,Oil Drilling,Oil Drilling And Exploration
OILCOUNTUB,Oil Country Tubular Limited,Steel,Steel - Tubes/Pipes
OMAXAUTO,Omax Autos Limited,Auto Ancl,Auto Ancl - Others
OMAXE,Omaxe Limited,Construction,Construction and Contracting - Real Estate
OMKARCHEM,Omkar Speciality Chemicals Limited,Chemicals,Chemicals
OMMETALS,OM Metals Infraprojects Limited,,
ONGC,Oil & Natural Gas Corporation Limited,Oil Drilling,Oil Drilling And Exploration
ONMOBILE,OnMobile Global Limited,Telecom,Telecommunications - Service
OPTOCIRCUI,Opto Circuits (India) Limited,Medical,Medical Accessories
ORBTEXP,Orbit Exports Limited,,
ORCHIDPHAR,,,
ORICONENT,Oricon Enterprises Limited,,
ORIENTABRA,Orient Abrasives Limited,Grinding Wheels,Abrasives/Grinding Wheels
ORIENTBANK,,Banks - PSU,Finance - Banks - Public Sector
ORIENTBELL,Orient Bell Limited,,
ORIENTCEM,Orient Cement Limited,,
ORIENTHOT,Oriental Hotels Limited,Hotels,Hotels
ORIENTLTD,Orient Press Limited,,
ORIENTPPR,Orient Paper & Industries Limited,Diversified,Diversified
ORIENTREF,Orient Refractories Limited,,
ORISSAMINE,The Orissa Minerals Development Company Limited,Mining,Mining/Minerals
ORTEL,Ortel Communications Limited,,
PAGEIND,Page Industries Limited,Textiles,Textiles - Readymade Apparels
PANACEABIO,Panacea Biotec Limited,Pharmaceuticals,Pharmaceuticals
PANAMAPET,Panama Petrochem Limited,,
PANORAMUNI,,Computers,Computers - Software
PAPERPROD,Huhtamaki PPL Limited,Packaging,
PARABDRUGS,Parabolic Drugs Limited,Pharmaceuticals,Pharmaceuticals
PARAGMILK,Parag Milk Foods Limited,,
PARRYSUGAR,,Diversified,Diversified
PARSVNATH,Parsvnath Developers Limited,Construction,Construction and Contracting - Real Estate
PATELENG,Patel Engineering Limited,Construction,Construction & Contracting - Civil
PATINTLOG,Patel Integrated Logistics Limited,Transport,Transport - Road
PATSPINLTD,Patspin India Limited,Textiles,Textiles - Spinning - Cotton Blended
PBAINFRA,,Infrastructure,Infrastructure - General
PCJEWELLER,PC Jeweller Limited,,
PDMJEPAPER,Pudumjee Paper Products Limited,,
PDPL,,Pharmaceuticals,Pharmaceuticals
PDSMFL,PDS Multinational Fashions Limited,,
PDUMJEIND,,Paper,Paper & Paper Boards
PDUMJEPULP,,Paper,Paper & Paper Boards
PEL,Piramal Enterprises Limited,,
PENIND,Pennar Industries Limited,Steel,Steel - CR/HR Strips
PENINLAND,Peninsula Land Limited,Construction,Construction & Contracting - Housing
PENPEBS,,,
PERSISTENT,Persistent Systems Limited,Computers,Computers - Software
PETRONET,Petronet LNG Limited,Petrochem,Petrochem - Others
PFC,Power Finance Corporation Limited,Finance,Finance - Term Lending Institutions
PFIZER,Pfizer Limited,Pharmaceuticals,Pharmaceuticals
PFOCUS,Prime Focus Limited,Entertainment,Entertainment/Multi Media
PFS,PTC India Financial Services Limited,,
PGEL,PG Electroplast Limited,,
PGHH,Procter & Gamble Hygiene and Health Care Limited,FMCG,Personal Care
PGIL,Pearl Global Industries Limited,,
PHILIPCARB,Phillips Carbon Black Limited,Misc,Carbon Black
PHOENIXLL,,,
PHOENIXLTD,The Phoenix Mills Limited,Construction,Construction and Contracting - Real Estate
PIDILITIND,Pidilite Industries Limited,Chemicals,Chemicals - Speciality - Others
PIIND,PI Industries Limited,,
PINCON,,,
PIONDIST,Pioneer Distilleries Limited,Beverages,Beverages - Alcoholic - Distilleries
PIONEEREMB,Pioneer Embroideries Limited,Textiles,Textiles - Hosiery/Knitwear
PITTILAM,,Engineering,Engineering - General
PKTEA,The Peria Karamalai Tea & Produce Company Limited,,
PLASTIBLEN,Plastiblends India Limited,Plastics,Plastics - Others
PNB,Punjab National Bank,Banks - PSU,Finance - Banks - Public Sector
PNBGILTS,PNB Gilts Limited,Finance,Finance - Investments
PNBHOUSING,PNB Housing Finance Limited,,
PNCINFRA,PNC Infratech Limited,,
POCHIRAJU,,,
PODDARHOUS,Poddar Housing and Development Limited,,
PODDARMENT,Poddar Pigments Limited,,
POKARNA,Pokarna Limited,,
POLARIS,,Computers,Computers - Software
POLYMED,Poly Medicure Limited,,
POLYPLEX,Polyplex Corporation Limited,Packaging,
PONNIERODE,Ponni Sugars (Erode) Limited,Sugar,Sugar - Others
POWERGRID,Power Grid Corporation of India Limited,Power,Power - Transmission/Equipment
POWERMECH,Power Mech Projects Limited,,
PPAP,PPAP Automotive Limited,Plastics,Plastics - Others
PRABHAT,Prabhat Dairy Limited,,
PRAENG,Prajay Engineers Syndicate Limited,Construction,Construction & Contracting - Housing
PRAJIND,Praj Industries Limited,Engineering,Engineering - Heavy
PRAKASH,Prakash Industries Limited,Diversified,Diversified
PRAKASHCON,,,
PRAKASHSTL,Prakash Steelage Limited,,
PRATIBHA,,Infrastructure,Infrastructure - General
PRECAM,Precision Camshafts Limited,,
PRECWIRE,Precision Wires India Limited,Metals,Metals - Non Ferrous - Copper/Copper Alloys - Prod
PREMEXPLN,Premier Explosives Limited,,
PREMIER,Premier Limited,Engineering,Engineering - General
PREMIERPOL,Premier Polyfilm Limited,,
PRESSMN,Pressman Advertising Limited,,
PRESTIGE,Prestige Estates Projects Limited,,
PRICOLLTD,Pricol Limited,,
PRIMESECU,Prime Securities Limited,Finance,Finance - Investments
PRISMCEM,,Cement,Cement - Major
PROVOGE,,,
PROZONINTU,Prozone Intu Properties Limited,,
PSB,Punjab & Sind Bank,Banks - PSU,Finance - Banks - Public Sector
PSL,PSL Limited,Steel,Steel - Tubes/Pipes
PSUBNKBEES,,ETF,CNX PSU Bank Index
PTC,PTC India Limited,Power,Power - Generation/Distribution
PTL,PTL Enterprises Limited,Auto Ancl,Tyres & Tubes
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,Chemicals,Chemicals - Organic - Others
PUNJLLOYD,Punj Lloyd Limited,Construction,Construction & Contracting - Civil
PURVA,Puravankara Limited,Construction,Construction and Contracting - Real Estate
PVR,PVR Limited,Entertainment,Entertainment/Multi Media
QGOLDHALF,,ETF,Gold
QNIFTY,,ETF,Nifty
QUESS,Quess Corp Limited,,
QUICKHEAL,Quick Heal Technologies Limited,,
RADICO,Radico Khaitan Limited,Finance,Finance - Investments
RADIOCITY,Music Broadcast Limited,,
RAIN,Rain Industries Limited,,
RAINBOWPAP,,Paper,Paper & Paper Boards
RAIREKMOH,,,
RAJESHEXPO,Rajesh Exports Limited,Jewellery,Diamond Cutting/Precious Metals/Jewellery
RAJSREESUG,Rajshree Sugars & Chemicals Limited,Sugar,Sugar - Integrated
RAJTV,Raj Television Network Limited,Entertainment,Entertainment/Multi Media
RAJVIR,,,
RALLIS,Rallis India Limited,Agro,Pesticides/Agro Chemicals
RAMANEWS,Shree Rama Newsprint Limited,Paper,Paper - News Print
RAMASTEEL,Rama Steel Tubes Limited,,
RAMCOCEM,The Ramco Cements Limited,,
RAMCOIND,Ramco Industries Limited,Cement,Cement - Products/Building Materials
RAMCOSYS,Ramco Systems Limited,Computers,Computers - Software
RAMKY,Ramky Infrastructure Limited,Construction,Construction & Contracting - Civil
RANASUG,Rana Sugars Limited,Sugar,Sugar - Others
RANEENGINE,Rane Engine Valve Limited,Auto Ancl,Auto Ancl - Engine Parts
RANEHOLDIN,Rane Holdings Limited,Finance,Finance - Investments
RATNAMANI,Ratnamani Metals & Tubes Limited,Steel,Steel - Tubes/Pipes
RAYMOND,Raymond Limited,Textiles,Textiles - Woollen/Worsted
RBL,Rane Brake Lining Limited,Auto Ancl,Auto Ancl - Susp. & Braking - Others
RBLBANK,RBL Bank Limited,,
RCF,Rashtriya Chemicals and Fertilizers Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate
RCOM,Reliance Communications Limited,Telecom,Telecommunications - Service
RDEL,,,
RECLTD,REC Limited,Finance,Finance - Term Lending Institutions
REDINGTON,Redington (India) Limited,,
REFEX,Refex Industries Limited,,
REIAGROLTD,,Food Processing,Food Processing - Miscellaneous
RELAXO,Relaxo Footwears Limited,,
RELCAPITAL,Reliance Capital Limited,Finance,Finance - Investments
RELIANCE,Reliance Industries Limited,Diversified,Diversified
RELIGARE,Religare Enterprises Limited,,
RELINFRA,Reliance Infrastructure Limited,Power,Power - Generation/Distribution
REMSONSIND,Remsons Industries Limited,Auto Ancl,Auto Ancl - Susp. & Braking - Springs
RENUKA,Shree Renuka Sugars Limited,Sugar,Sugar - Others
REPCOHOME,Repco Home Finance Limited,,
REPRO,Repro India Limited,Printing,Printing/Publishing/Stationery
RESPONIND,Responsive Industries Limited,Plastics,Plastics - Flooring
REVATHI,Revathi Equipment Limited,Compressors,Compressors
RICOAUTO,Rico Auto Industries Limited,Auto Ancl,Auto Ancl - Dr. Trans & Steer - Others
RIIL,Reliance Industrial Infrastructure Limited,Computers,Project Consultancy/Turnkey
RJL,,Jewellery,Diamond Cutting/Precious Metals/Jewellery
RKDL,Ravi Kumar Distilleries Limited,,
RKFORGE,Ramkrishna Forgings Limited,,
RML,Rane (Madras) Limited,,
ROHITFERRO,Rohit Ferro-Tech Limited,Misc,Ferro Alloys
ROHLTD,Royal Orchid Hotels Limited,Hotels,Hotels
ROLLT,Rollatainers Limited,,
ROLTA,Rolta India Limited,Computers,Computers - Software
ROSSELLIND,Rossell India Limited,,
RPGLIFE,RPG Life Sciences Limited,,
RPOWER,Reliance Power Limited,Power,Power - Generation/Distribution
RPPINFRA,R.P.P. Infra Projects Limited,Construction,Construction & Contracting - Civil
RSSOFTWARE,R. S. Software (India) Limited,Computers,Computers - Software
RSWM,RSWM Limited,Textiles,Textiles - Spinning - Synthetic Blended
RSYSTEMS,R Systems International Limited,Computers,Computers - Software
RTNINFRA,RattanIndia Infrastructure Limited,,
RTNPOWER,RattanIndia Power Limited,,
RUBYMILLS,The Ruby Mills Limited,Textiles,Textiles - Composite Mills
RUCHIRA,Ruchira Papers Limited,Paper,Paper - Kraft
RUCHISOYA,,Edible Oils,Edible Oils & Solvent Extraction
RUPA,Rupa & Company Limited,,
RUSHIL,Rushil Decor Limited,,
SABEVENTS,Sab Events & Governance Now Media Limited,,
SABTN,Sri Adhikari Brothers Television Network Limited,Entertainment,Entertainment/Multi Media
SADBHAV,Sadbhav Engineering Limited,Construction,Construction & Contracting - Civil
SADBHIN,Sadbhav Infrastructure Project Limited,,
SAGCEM,Sagar Cements Limited,Cement,Cement - Mini
SAIL,Steel Authority of India Limited,Steel,Steel
SAKHTISUG,Sakthi Sugars Limited,Sugar,Sugar - Integrated
SAKSOFT,Saksoft Limited,Computers,Computers - Software
SAKUMA,Sakuma Exports Limited,Trading,Trading
SALORAINTL,,Consumer Goods,Consumer Goods - Electronic
SALZERELEC,Salzer Electronics Limited,,
SANDESH,The Sandesh Limited,Printing,Printing/Publishing/Stationery
SANGAMIND,Sangam (India) Limited,Textiles,Textiles - Spinning - Synthetic Blended
SANGHIIND,Sanghi Industries Limited,Cement,Cement - Products/Building Materials
SANGHVIFOR,Sanghvi Forging and Engineering Limited,,
SANGHVIMOV,Sanghvi Movers Limited,Engineering,Engineering - Heavy
SANOFI,Sanofi India Limited,,
SANWARIA,Sanwaria Consumer Limited,Edible Oils,Edible Oils & Solvent Extraction
SARDAEN,Sarda Energy & Minerals Limited,Steel,Steel - Sponge Iron
SAREGAMA,Saregama India Limited,Entertainment,Entertainment/Multi Media
SARLAPOLY,Sarla Performance Fibers Limited,Textiles,Textiles - Processing/Texturising
SASKEN,Sasken Technologies Limited,Computers,Computers - Software
SATHAISPAT,Sathavahana Ispat Limited,Steel,Steel - Pig Iron
SATIN,Satin Creditcare Network Limited,,
SBIN,State Bank of India,Banks - PSU,Finance - Banks - Public Sector
SCHAND,S Chand And Company Limited,,
SCHNEIDER,Schneider Electric Infrastructure Limited,,
SCI,Shipping Corporation Of India Limited,Shipping,Shipping
SDBL,Som Distilleries & Breweries Limited,,
SEAMECLTD,Seamec Limited,Shipping,Shipping
SEINV,,,
SELAN,Selan Exploration Technology Limited,Oil Drilling,Oil Drilling And Exploration
SELMCL,SEL Manufacturing Company Limited,Textiles,Textiles - General
SEPOWER,S.E. Power Limited,,
SEQUENT,Sequent Scientific Limited,,
SERVALL,,,
SESHAPAPER,Seshasayee Paper and Boards Limited,Paper,Paper & Paper Boards
SETCO,Setco Automotive Limited,,
SFL,Sheela Foam Limited,,
SGL,STL Global Limited,Textiles,Textiles - General
SHAKTIPUMP,Shakti Pumps (India) Limited,,
SHALPAINTS,Shalimar Paints Limited,Paints,Paints/Varnishes
SHANKARA,Shankara Building Products Limited,,
SHANTIGEAR,Shanthi Gears Limited,Engineering,Engineering - General
SHARDACROP,Sharda Cropchem Limited,,
SHARDAMOTR,Sharda Motor Industries Limited,,
SHARIABEES,,ETF,Shariah Index
SHARONBIO,,,
SHEMAROO,Shemaroo Entertainment Limited,,
SHILPAMED,Shilpa Medicare Limited,Pharmaceuticals,Pharmaceuticals
SHILPI,,,
SHIRPUR-G,Shirpur Gold Refinery Limited,,
SHIVAMAUTO,Shivam Autotech Limited,Auto Ancl,Auto Ancl - Others
SHIVTEX,,Textiles,Textiles - Spinning - Cotton Blended
SHK,S H Kelkar and Company Limited,,
SHOPERSTOP,Shoppers Stop Limited,Retail,Retail - Departmental Stores
SHREECEM,SHREE CEMENT LIMITED,Cement,Cement - Major
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,,
SHREERAMA,Shree Rama Multi-Tech Limited,Packaging,Packaging - Others
SHREYANIND,Shreyans Industries Limited,Paper,Paper & Paper Boards
SHREYAS,Shreyas Shipping & Logistics Limited,Shipping,Shipping
SHRIRAMCIT,Shriram City Union Finance Limited,,
SHRIRAMEPC,Shriram EPC Limited,Computers,Project Consultancy/Turnkey
SHYAMCENT,Shyam Century Ferrous Limited,,
SHYAMTEL,Shyam Telecom Limited,Telecom,Telecommunications - Equipment
SICAGEN,Sicagen India Limited,Trading,Trading
SICAL,Sical Logistics Limited,Trading,Trading
SIEMENS,Siemens Limited,Misc,Instrumentation & Process Control
SIGNET,,,
SILINV,SIL Investments Limited,Finance,Finance - Investments
SIMBHALS,Simbhaoli Sugars Limited,,
SIMPLEXINF,Simplex Infrastructures Limited,Construction,Construction & Contracting - Civil
SINTEX,Sintex Industries Limited,Diversified,Diversified
