RELIANCE,Energy,Oil & Gas Refining & Marketing
RELIGARE,Financial Services,Capital Markets
RELINFRA,Utilities,Utilities—Regulated Electric
REMSONSIND,Consumer Cyclical,Auto Parts
RENUKA,Consumer Defensive,Confectioners
REPCOHOME,Financial Services,Mortgage Finance
REPRO,Industrials,Specialty Business Services
RESPONIND,Basic Materials,Specialty Chemicals
REVATHI,Industrials,Farm & Heavy Construction Machinery
RGL,Consumer Cyclical,Luxury Goods
RHFL,Financial Services,Mortgage Finance
RICOAUTO,Consumer Cyclical,Auto Parts
RIIL,Industrials,Engineering & Construction
RITES,Industrials,Engineering & Construction
RKDL,Consumer Defensive,Beverages—Wineries & Distilleries
RKFORGE,Industrials,Tools & Accessories
RMCL,Consumer Cyclical,Packaging & Containers
RML,Consumer Cyclical,Auto Parts
RNAVAL,Industrials,Aerospace & Defense
ROHITFERRO,Basic Materials,Steel
ROHLTD,Consumer Cyclical,Lodging
ROLLT,Industrials,Conglomerates
ROLTA,Technology,Information Technology Services
ROSSELLIND,Consumer Defensive,Packaged Foods
RPGLIFE,Healthcare,Drug Manufacturers—Specialty & Generic
RPOWER,Utilities,Utilities—Independent Power Producers
RPPINFRA,Industrials,Engineering & Construction
RSSOFTWARE,Technology,Software—Infrastructure
RSWM,Consumer Cyclical,Textile Manufacturing
RSYSTEMS,Technology,Information Technology Services
RTNINFRA,Utilities,Utilities—Independent Power Producers
RTNPOWER,Utilities,Utilities—Renewable
RUBYMILLS,Consumer Cyclical,Textile Manufacturing
RUCHI,,
RUCHINFRA,Consumer Defensive,Farm Products
RUCHIRA,Basic Materials,Paper & Paper Products
RUPA,Consumer Cyclical,Apparel Manufacturing
RUSHIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
RVNL,Industrials,Engineering & Construction
S&SPOWER,Industrials,Electrical Equipment & Parts
SABEVENTS,Communication Services,Publishing
SABTN,Communication Services,Broadcasting
SADBHAV,Industrials,Engineering & Construction
SADBHIN,Industrials,Engineering & Construction
SAFARI,Consumer Cyclical,Footwear & Accessories
SAGARDEEP,Basic Materials,Copper
SAGCEM,Basic Materials,Building Materials
SAIL,Basic Materials,Steel
SAKAR,Healthcare,Drug Manufacturers—Specialty & Generic
SAKHTISUG,Consumer Defensive,Confectioners
SAKSOFT,Technology,Information Technology Services
SAKUMA,Consumer Defensive,Farm Products
SALASAR,Basic Materials,Steel
SALONA,Consumer Cyclical,Textile Manufacturing
SALSTEEL,Basic Materials,Steel
SALZERELEC,Industrials,Electrical Equipment & Parts
SAMBHAAV,Communication Services,Publishing
SANCO,Industrials,Electrical Equipment & Parts
SANDESH,Communication Services,Publishing
SANDHAR,Consumer Cyclical,Auto Parts
SANGAMIND,Consumer Cyclical,Textile Manufacturing
SANGHIIND,Basic Materials,Building Materials
SANGHVIFOR,Industrials,Metal Fabrication
SANGHVIMOV,Industrials,Farm & Heavy Construction Machinery
SANGINITA,Basic Materials,Chemicals
SANOFI,Healthcare,Drug Manufacturers—General
SANWARIA,Consumer Defensive,Farm Products
SARDAEN,Basic Materials,Steel
SAREGAMA,Communication Services,Entertainment
SARLAPOLY,Consumer Cyclical,Textile Manufacturing
SASKEN,Technology,Software—Application
SASTASUNDR,Consumer Cyclical,Specialty Retail
SATHAISPAT,Basic Materials,Steel
SATIA,Basic Materials,Paper & Paper Products
SATIN,Financial Services,Credit Services
SBICARD,Financial Services,Credit Services
SBILIFE,Financial Services,Insurance—Life
SBIN,Financial Services,Banks—Regional
SCAPDVR,Financial Services,Capital Markets
SCHAEFFLER,Industrials,Specialty Industrial Machinery
SCHAND,Communication Services,Publishing
SCHNEIDER,Industrials,Specialty Industrial Machinery
SCI,Industrials,Marine Shipping
SDBL,Consumer Defensive,Beverages—Brewers
SEAMECLTD,Industrials,Marine Shipping
SELAN,Energy,Oil & Gas E&P
SELMCL,Consumer Cyclical,Apparel Manufacturing
SEPOWER,Basic Materials,Specialty Chemicals
SEQUENT,Healthcare,Biotechnology
SESHAPAPER,Basic Materials,Paper & Paper Products
SETCO,Consumer Cyclical,Auto Parts
SETUINFRA,Industrials,Engineering & Construction
SEYAIND,Basic Materials,Specialty Chemicals
SEZAL,Industrials,Building Products & Equipment
SFL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SGL,Consumer Cyclical,Textile Manufacturing
SHAHALLOYS,Basic Materials,Steel
SHAKTIPUMP,Industrials,Specialty Industrial Machinery
SHALBY,Healthcare,Medical Care Facilities
SHALPAINTS,Basic Materials,Specialty Chemicals
SHANKARA,Consumer Cyclical,Home Improvement Retail
SHANTIGEAR,Industrials,Specialty Industrial Machinery
SHARDACROP,Basic Materials,Agricultural Inputs
SHARDAMOTR,Consumer Cyclical,Auto Parts
SHEMAROO,Communication Services,Entertainment
SHIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SHILPAMED,Healthcare,Drug Manufacturers—Specialty & Generic
SHIRPUR-G,Basic Materials,Gold
SHIVAMAUTO,Consumer Cyclical,Auto Parts
SHIVAMILLS,Consumer Cyclical,Textile Manufacturing
SHIVATEX,Consumer Cyclical,Textile Manufacturing
SHK,Consumer Defensive,Household & Personal Products
SHOPERSTOP,Consumer Cyclical,Department Stores
SHREDIGCEM,Basic Materials,Building Materials
SHREECEM,Basic Materials,Building Materials
SHREEPUSHK,Basic Materials,Specialty Chemicals
SHREERAMA,Consumer Cyclical,Packaging & Containers
SHRENIK,Basic Materials,Paper & Paper Products
SHREYANIND,Basic Materials,Paper & Paper Products
SHREYAS,Industrials,Marine Shipping
SHRIPISTON,Consumer Cyclical,Auto Parts
SHRIRAMCIT,Financial Services,Credit Services
SHRIRAMEPC,Industrials,Engineering & Construction
SHYAMCENT,Basic Materials,Steel
SHYAMTEL,Technology,Communication Equipment
SICAGEN,Basic Materials,Building Materials
SICAL,Industrials,Integrated Freight & Logistics
SIEMENS,Industrials,Specialty Industrial Machinery
SIGIND,Basic Materials,Specialty Chemicals
SIL,Consumer Cyclical,Textile Manufacturing
SILINV,Financial Services,Asset Management
SIMBHALS,Consumer Defensive,Confectioners
SIMPLEXINF,Industrials,Engineering & Construction
SINTEX,Consumer Cyclical,Textile Manufacturing
SIRCA,Basic Materials,Specialty Chemicals
SIS,Industrials,Security & Protection Services
SITINET,Communication Services,Entertainment
SIYSIL,Consumer Cyclical,Textile Manufacturing
SJVN,Utilities,Utilities—Renewable
SKFINDIA,Industrials,Specialty Industrial Machinery
SKIL,Industrials,Engineering & Construction
SKIPPER,Industrials,Engineering & Construction
SKMEGGPROD,Consumer Defensive,Packaged Foods
SMARTLINK,Technology,Communication Equipment
SMLISUZU,Consumer Cyclical,Auto Manufacturers
SMPL,Basic Materials,Steel
SMSLIFE,Healthcare,Biotechnology
SMSPHARMA,Healthcare,Drug Manufacturers—General
SNOWMAN,Industrials,Integrated Freight & Logistics
SOBHA,Real Estate,Real Estate—Development
SOLARA,Healthcare,Drug Manufacturers—Specialty & Generic
SOLARINDS,Basic Materials,Specialty Chemicals
SOMANYCERA,Industrials,Building Products & Equipment
SOMATEX,Consumer Cyclical,Textile Manufacturing
SOMICONVEY,Industrials,Specialty Industrial Machinery
SONATSOFTW,Technology,Information Technology Services
SORILINFRA,Industrials,Infrastructure Operations
SOTL,Basic Materials,Specialty Chemicals
SOUTHBANK,Financial Services,Banks—Regional
SOUTHWEST,Energy,Oil & Gas Equipment & Services
SPAL,Consumer Cyclical,Textile Manufacturing
SPANDANA,Financial Services,Credit Services
SPARC,Healthcare,Drug Manufacturers—Specialty & Generic
SPCENET,Financial Services,Capital Markets
SPECIALITY,Consumer Cyclical,Restaurants
SPENCERS,Consumer Cyclical,Department Stores
SPENTEX,Consumer Cyclical,Textile Manufacturing
SPIC,Basic Materials,Agricultural Inputs
SPICEJET,Industrials,Airlines
SPLIL,Consumer Cyclical,Apparel Manufacturing
SPMLINFRA,Industrials,Engineering & Construction
SPTL,Consumer Cyclical,Auto Parts
SPYL,Consumer Cyclical,Textile Manufacturing
SREEL,Consumer Cyclical,Footwear & Accessories
SREINFRA,Financial Services,Credit Services
SRF,Basic Materials,Chemicals
SRHHYPOLTD,Basic Materials,Chemicals
SRIPIPES,Industrials,Metal Fabrication
SRTRANSFIN,Financial Services,Credit Services
SSWL,Consumer Cyclical,Auto Parts
STAMPEDE,Financial Services,Capital Markets
STAR,Healthcare,Drug Manufacturers—Specialty & Generic
STARCEMENT,Basic Materials,Building Materials
STARPAPER,Basic Materials,Paper & Paper Products
STCINDIA,Industrials,Conglomerates
STEELCITY,Financial Services,Capital Markets
STEELXIND,Basic Materials,Steel
STEL,Consumer Defensive,Farm Products
STERTOOLS,Industrials,Tools & Accessories
STINDIA,Consumer Cyclical,Textile Manufacturing
STRTECH,Technology,Communication Equipment
SUBCAPCITY,,
SUBEX,Technology,Software—Application
SUBROS,Consumer Cyclical,Auto Parts
SUDARSCHEM,Basic Materials,Specialty Chemicals
SUJANAUNI,Basic Materials,Steel
SUMEETINDS,Consumer Cyclical,Textile Manufacturing
SUMICHEM,Basic Materials,Specialty Chemicals
SUMIT,Real Estate,Real Estate—Development
SUMMITSEC,Financial Services,Capital Markets
SUNCLAYLTD,Consumer Cyclical,Auto Parts
SUNDARAM,Basic Materials,Paper & Paper Products
SUNDARMFIN,Financial Services,Credit Services
SUNDARMHLD,Financial Services,Credit Services
SUNDRMBRAK,Consumer Cyclical,Auto Parts
SUNDRMFAST,Consumer Cyclical,Auto Parts
SUNFLAG,Basic Materials,Steel
SUNPHARMA,Healthcare,Drug Manufacturers—Specialty & Generic
SUNTECK,Real Estate,Real Estate—Development
SUNTV,Communication Services,Broadcasting
SUPERHOUSE,Consumer Cyclical,Footwear & Accessories
SUPERSPIN,Consumer Cyclical,Textile Manufacturing
SUPPETRO,Basic Materials,Chemicals
SUPRAJIT,Consumer Cyclical,Auto Parts
SUPREMEIND,Consumer Cyclical,Packaging & Containers
SUPREMEINF,Industrials,Engineering & Construction
SURANASOL,Technology,Solar
SURANAT&P,Utilities,Utilities—Independent Power Producers
SURYALAXMI,Consumer Cyclical,Textile Manufacturing
SURYAROSNI,Basic Materials,Steel
SUTLEJTEX,Consumer Cyclical,Textile Manufacturing
SUVEN,Healthcare,Drug Manufacturers—Specialty & Generic
SUVENPHAR,Healthcare,Biotechnology
SUZLON,Industrials,Specialty Industrial Machinery
SWANENERGY,Consumer Cyclical,Textile Manufacturing
SWARAJENG,Consumer Cyclical,Auto Parts
SWELECTES,Technology,Solar
SWSOLAR,Technology,Solar
SYMPHONY,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SYNCOM,Healthcare,Drug Manufacturers—Specialty & Generic
SYNGENE,Healthcare,Biotechnology
TAINWALCHM,Basic Materials,Specialty Chemicals
TAJGVK,Consumer Cyclical,Lodging
TAKE,Healthcare,Biotechnology
TALBROAUTO,Consumer Cyclical,Auto Parts
TALWALKARS,Consumer Cyclical,Leisure
TALWGYM,Consumer Cyclical,Leisure
TANLA,Technology,Software—Application
TANTIACONS,Industrials,Engineering & Construction
TARMAT,Industrials,Engineering & Construction
TASTYBITE,Consumer Defensive,Packaged Foods
TATACHEM,Basic Materials,Chemicals
TATACOFFEE,Consumer Defensive,Packaged Foods
TATACOMM,Communication Services,Telecom Services
TATACONSUM,Consumer Defensive,Packaged Foods
TATAELXSI,Technology,Software—Application
TATAINVEST,Financial Services,Capital Markets
TATAMETALI,Basic Materials,Steel
TATAMOTORS,Consumer Cyclical,Auto Manufacturers
TATAMTRDVR,Consumer Cyclical,Auto Manufacturers
TATAPOWER,Utilities,Utilities—Independent Power Producers
TATASTEEL,Basic Materials,Steel
TATASTLBSL,Basic Materials,Steel
TATASTLLP,Basic Materials,Steel
TBZ,Consumer Cyclical,Luxury Goods
TCI,Industrials,Integrated Freight & Logistics
TCIDEVELOP,Real Estate,Real Estate Services
TCIEXP,Industrials,Integrated Freight & Logistics
TCIFINANCE,Financial Services,Credit Services
TCNSBRANDS,Consumer Cyclical,Apparel Manufacturing
TCPLPACK,Consumer Cyclical,Packaging & Containers
TCS,Technology,Information Technology Services
TDPOWERSYS,Industrials,Specialty Industrial Machinery
TEAMLEASE,Industrials,Staffing & Employment Services
TECHIN,Real Estate,Real Estate—Development
TECHM,Technology,Information Technology Services
TECHNOE,Industrials,Engineering & Construction
TECHNOFAB,Industrials,Engineering & Construction
TEJASNET,Technology,Communication Equipment
TERASOFT,Technology,Information Technology Services
TEXINFRA,Real Estate,Real Estate Services
TEXMOPIPES,Industrials,Building Products & Equipment
TEXRAIL,Industrials,Specialty Industrial Machinery
TFCILTD,Financial Services,Credit Services
TFL,Financial Services,Mortgage Finance
TGBHOTELS,Consumer Cyclical,Lodging
THANGAMAYL,Consumer Cyclical,Luxury Goods
THEINVEST,Financial Services,Capital Markets
THEMISMED,Healthcare,Drug Manufacturers—Specialty & Generic
THERMAX,Industrials,Specialty Industrial Machinery
THIRUSUGAR,Consumer Defensive,Confectioners
THOMASCOOK,Consumer Cyclical,Travel Services
THOMASCOTT,Consumer Cyclical,Apparel Manufacturing
THYROCARE,Healthcare,Diagnostics & Research
TI,Consumer Defensive,Beverages—Wineries & Distilleries
TIDEWATER,Basic Materials,Specialty Chemicals
TIIL,Industrials,Tools & Accessories
TIINDIA,Consumer Cyclical,Auto Parts
TIJARIA,Industrials,Building Products & Equipment
TIL,Industrials,Specialty Industrial Machinery
TIMESGTY,Financial Services,Asset Management
TIMETECHNO,Consumer Cyclical,Packaging & Containers
TIMKEN,Industrials,Specialty Industrial Machinery
TINPLATE,Basic Materials,Steel
TIPSINDLTD,Communication Services,Entertainment
TIRUMALCHM,Basic Materials,Specialty Chemicals
TITAN,Consumer Cyclical,Luxury Goods
TMRVL,Consumer Cyclical,Apparel Retail
TNPETRO,Basic Materials,Specialty Chemicals
TNPL,Basic Materials,Paper & Paper Products
TNTELE,Technology,Communication Equipment
TOKYOPLAST,Consumer Cyclical,Packaging & Containers
TORNTPHARM,Healthcare,Drug Manufacturers—General
TORNTPOWER,Utilities,Utilities—Renewable
TOUCHWOOD,Communication Services,Advertising Agencies
TPLPLASTEH,,
TREEHOUSE,Consumer Defensive,Education & Training Services
TREJHARA,Technology,Software—Application
TRENT,Consumer Cyclical,Apparel Retail
TRF,Industrials,Specialty Industrial Machinery
TRIDENT,Consumer Cyclical,Textile Manufacturing
TRIGYN,Technology,Information Technology Services
TRIL,Industrials,Electrical Equipment & Parts
TRITURBINE,Industrials,Specialty Industrial Machinery
TRIVENI,Consumer Defensive,Confectioners
TTKHLTCARE,Healthcare,Drug Manufacturers—General
TTKPRESTIG,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
TTL,Consumer Cyclical,Textile Manufacturing
TTML,Communication Services,Telecom Services
TV18BRDCST,Communication Services,Broadcasting
TVSELECT,Technology,Computer Hardware
TVSMOTOR,Consumer Cyclical,Auto Manufacturers
TVSSRICHAK,Consumer Cyclical,Auto Parts
TVTODAY,Communication Services,Broadcasting
TVVISION,Communication Services,Broadcasting
TWL,Industrials,Railroads
