Symbol , Sector , Sub-sector
ANKITMETAL , Basic Materials , Steel
ANSALAPI , Real Estate , Real Estate-Development
ANSALHSG , Real Estate , Real Estate-Development
ANUP , Industrials , Specialty Industrial Machinery
APARINDS , Industrials , Electrical Equipment & Parts
APCL , Basic Materials , Building Materials
APCOTEXIND , Basic Materials , Specialty Chemicals
APEX , Consumer Defensive , Farm Products
APLAPOLLO , Basic Materials , Steel
APLLTD , Healthcare , Drug Manufacturers-Specialty & Generic
APOLLO , Industrials , Aerospace & Defense
APOLLOHOSP , Healthcare , Medical Care Facilities
APOLLOPIPE , Industrials , Building Products & Equipment
APOLLOTYRE , Consumer Cyclical , Auto Parts
APOLSINHOT , Consumer Cyclical , Lodging
APTECHT , Consumer Defensive , Education & Training Services
ARCHIDPLY , Basic Materials , Lumber & Wood Production
ARCHIES , Consumer Cyclical , Specialty Retail
ARCOTECH , Industrials , Metal Fabrication
ARENTERP , Basic Materials , Other Industrial Metals & Mining
ARIES , Basic Materials , Agricultural Inputs
ARIHANT , Real Estate , Real Estate-Development
ARIHANTSUP , Real Estate , Real Estate-Development
ARMANFIN , Financial Services , Credit Services
AROGRANITE , Industrials , Building Products & Equipment
ARROWGREEN , Consumer Cyclical , Packaging & Containers
ARSHIYA , Industrials , Integrated Freight & Logistics
ARSSINFRA , Industrials , Infrastructure Operations
ARTEMISMED ,  , 
ARVIND , Consumer Cyclical , Textile Manufacturing
ARVINDFASN , Consumer Cyclical , Apparel Manufacturing
ARVSMART , Real Estate , Real Estate-Development
ASAHIINDIA , Consumer Cyclical , Auto Parts
ASAHISONG , Basic Materials , Specialty Chemicals
ASAL , Consumer Cyclical , Auto Parts
ASALCBR , Consumer Defensive , Beverages-Wineries & Distilleries
ASHAPURMIN , Basic Materials , Other Industrial Metals & Mining
ASHIANA , Real Estate , Real Estate-Development
ASHIMASYN , Consumer Cyclical , Textile Manufacturing
ASHOKA , Industrials , Engineering & Construction
ASHOKLEY , Consumer Cyclical , Auto Manufacturers
ASIANHOTNR , Consumer Cyclical , Lodging
ASIANPAINT , Basic Materials , Specialty Chemicals
ASIANTILES , Industrials , Building Products & Equipment
ASPINWALL , Consumer Defensive , Farm Products
ASTEC , Basic Materials , Agricultural Inputs
ASTERDM , Healthcare , Medical Care Facilities
ASTRAL , Industrials , Building Products & Equipment
ASTRAMICRO , Technology , Communication Equipment
ASTRAZEN , Healthcare , Drug Manufacturers-Specialty & Generic
ASTRON , Basic Materials , Paper & Paper Products
ATFL , Consumer Defensive , Packaged Foods
ATLANTA , Industrials , Infrastructure Operations
ATLASCYCLE , Consumer Cyclical , Leisure
ATNINTER , Financial Services , Capital Markets
ATUL , Basic Materials , Specialty Chemicals
ATULAUTO , Consumer Cyclical , Auto Manufacturers
AUBANK , Financial Services , Banks-Regional
AURIONPRO , Technology , Software-Infrastructure
AUROPHARMA , Healthcare , Drug Manufacturers-Specialty & Generic
AUSOMENT , Financial Services , Capital Markets
AUTOAXLES , Consumer Cyclical , Auto Parts
AUTOIND , Consumer Cyclical , Auto Parts
AUTOLITIND , Consumer Cyclical , Auto Parts
AVADHSUGAR , Consumer Defensive , Confectioners
AVANTIFEED , Consumer Defensive , Packaged Foods
AVTNPL , Basic Materials , Specialty Chemicals
AXISBANK , Financial Services , Banks-Regional
AXISCADES , Industrials , Engineering & Construction
AYMSYNTEX , Consumer Cyclical , Textile Manufacturing
BAFNAPH , Healthcare , Drug Manufacturers-Specialty & Generic
BAGFILMS , Communication Services , Broadcasting
BAJAJ-AUTO , Consumer Cyclical , Auto Manufacturers
BAJAJCON , Consumer Defensive , Household & Personal Products
BAJAJELEC , Utilities , Utilities-Independent Power Producers
BAJAJFINSV , Financial Services , Insurance-Diversified
BAJAJHIND , Consumer Defensive , Confectioners
BAJAJHLDNG , Financial Services , Asset Management
BAJFINANCE , Financial Services , Credit Services
BALAJITELE , Communication Services , Entertainment
BALAMINES , Basic Materials , Specialty Chemicals
BALAXI ,  , 
BALKRISHNA , Consumer Cyclical , Packaging & Containers
BALKRISIND , Consumer Cyclical , Auto Parts
BALLARPUR , Basic Materials , Paper & Paper Products
BALMLAWRIE , Industrials , Conglomerates
BALPHARMA , Healthcare , Drug Manufacturers-Specialty & Generic
BALRAMCHIN , Consumer Defensive , Confectioners
BANARBEADS , Consumer Cyclical , Footwear & Accessories
BANARISUG , Consumer Defensive , Confectioners
BANCOINDIA , Consumer Cyclical , Auto Parts
BANDHANBNK , Financial Services , Banks-Regional
BANG , Consumer Cyclical , Apparel Manufacturing
BANKBARODA , Financial Services , Banks-Regional
BANKINDIA , Financial Services , Banks-Regional
BANSWRAS , Consumer Cyclical , Textile Manufacturing
BARTRONICS , Technology , Information Technology Services
BASF , Basic Materials , Chemicals
BASML , Consumer Cyclical , Textile Manufacturing
BATAINDIA , Consumer Cyclical , Footwear & Accessories
BAYERCROP , Basic Materials , Agricultural Inputs
BBL , Industrials , Electrical Equipment & Parts
BBTC , Industrials , Conglomerates
BCG , Technology , Internet Information Providers
BCP , Industrials , Electrical Equipment & Parts
BDL , Industrials , Aerospace & Defense
BEARDSELL , Industrials , Building Products & Equipment
BEDMUTHA , Basic Materials , Steel
BEL , Industrials , Aerospace & Defense
BEML , Industrials , Specialty Industrial Machinery
BEPL , Basic Materials , Chemicals
BERGEPAINT , Basic Materials , Specialty Chemicals
BFINVEST , Financial Services , Asset Management
BFUTILITIE , Industrials , Engineering & Construction
BGRENERGY , Industrials , Engineering & Construction
BHAGERIA , Basic Materials , Specialty Chemicals
BHAGYANGR , Industrials , Electrical Equipment & Parts
BHAGYAPROP , Real Estate , Real Estate Services
BHANDARI , Consumer Cyclical , Apparel Manufacturing
BHARATFORG , Consumer Cyclical , Auto Parts
BHARATGEAR , Consumer Cyclical , Auto Parts
BHARATRAS , Basic Materials , Agricultural Inputs
BHARATWIRE , Basic Materials , Steel
BHARTIARTL , Communication Services , Telecom Services
BHEL , Industrials , Specialty Industrial Machinery
BIGBLOC , Industrials , Building Products & Equipment
BIL , Consumer Cyclical , Footwear & Accessories
BILENERGY , Industrials , Metal Fabrication
BINANIIND , Basic Materials , Building Materials
BINDALAGRO , Financial Services , Asset Management
BIOCON , Healthcare , Biotechnology
BIOFILCHEM , Healthcare , Drug Manufacturers-Specialty & Generic
BIRLACABLE , Technology , Communication Equipment
BIRLACORPN , Basic Materials , Building Materials
BIRLAMONEY , Financial Services , Capital Markets
BIRLATYRE , Consumer Cyclical , Auto Parts
BKMINDST , Consumer Cyclical , Packaging & Containers
BLBLIMITED , Financial Services , Capital Markets
BLISSGVS , Healthcare , Drug Manufacturers-Specialty & Generic
BLKASHYAP , Industrials , Engineering & Construction
BLS , Industrials , Specialty Business Services
BLUEBLENDS , Consumer Cyclical , Textile Manufacturing
BLUECHIP , Financial Services , Capital Markets
BLUECOAST , Consumer Cyclical , Lodging
BLUEDART , Industrials , Integrated Freight & Logistics
BLUESTARCO , Industrials , Specialty Industrial Machinery
BODALCHEM , Basic Materials , Specialty Chemicals
BOMDYEING , Real Estate , Real Estate Services
BORORENEW , Consumer Cyclical , Packaging & Containers
BOSCHLTD , Consumer Cyclical , Auto Parts
BPCL , Energy , Oil & Gas Refining & Marketing
BPL , Technology , Consumer Electronics
BRFL , Consumer Cyclical , Textile Manufacturing
BRIGADE , Real Estate , Real Estate-Development
BRITANNIA , Consumer Defensive , Packaged Foods
BRNL , Industrials , Infrastructure Operations
BROOKS , Healthcare , Drug Manufacturers-Specialty & Generic
BSE , Financial Services , Financial Data & Stock Exchanges
BSELINFRA , Real Estate , Real Estate-Development
BSL , Consumer Cyclical , Textile Manufacturing
BSOFT , Technology , Information Technology Services
BURNPUR , Basic Materials , Building Materials
BUTTERFLY , Technology , Consumer Electronics
BVCL , Basic Materials , Building Materials
BYKE , Consumer Cyclical , Lodging
CADILAHC , Healthcare , Drug Manufacturers-Specialty & Generic
CALSOFT , Technology , Software-Application
CAMLINFINE , Basic Materials , Specialty Chemicals
CANBK , Financial Services , Banks-Regional
CANDC , Industrials , Engineering & Construction
CANFINHOME , Financial Services , Mortgage Finance
CANTABIL , Consumer Cyclical , Apparel Manufacturing
CAPACITE , Industrials , Engineering & Construction
CAPLIPOINT , Healthcare , Drug Manufacturers-Specialty & Generic
CAPTRUST , Financial Services , Credit Services
CARBORUNIV , Industrials , Building Products & Equipment
CAREERP , Consumer Defensive , Education & Training Services
CARERATING , Financial Services , Financial Data & Stock Exchanges
CASTEXTECH , Consumer Cyclical , Auto Parts
CASTROLIND , Basic Materials , Specialty Chemicals
CCCL , Industrials , Engineering & Construction
CCHHL , Consumer Cyclical , Resorts & Casinos
CCL , Consumer Defensive , Packaged Foods
CDSL , Financial Services , Capital Markets
CEATLTD , Consumer Cyclical , Auto Parts
CEBBCO , Industrials , Railroads
CELEBRITY , Consumer Cyclical , Apparel Manufacturing
CENTENKA , Consumer Cyclical , Textile Manufacturing
CENTEXT , Basic Materials , Aluminum
CENTRALBK , Financial Services , Banks-Regional
CENTRUM , Financial Services , Capital Markets
CENTUM , Technology , Electronic Components
CENTURYPLY , Consumer Cyclical , Furnishings Fixtures & Appliances
CENTURYTEX , Basic Materials , Paper & Paper Products
CERA , Industrials , Building Products & Equipment
CEREBRAINT , Technology , Computer Hardware
CESC , Utilities , Utilities-Independent Power Producers
CESCVENT , Technology , Information Technology Services
CGCL , Financial Services , Credit Services
CGPOWER , Industrials , Electrical Equipment & Parts
CHALET , Consumer Cyclical , Lodging
CHAMBLFERT , Basic Materials , Agricultural Inputs
CHEMBOND , Basic Materials , Specialty Chemicals
CHEMFAB , Basic Materials , Specialty Chemicals
CHENNPETRO , Energy , Oil & Gas Refining & Marketing
CHOLAFIN , Financial Services , Credit Services
CHOLAHLDNG , Financial Services , Insurance-Diversified
CHROMATIC , Basic Materials , Specialty Chemicals
CIGNITITEC , Technology , Information Technology Services
CIMMCO , Industrials , Railroads
CINELINE , Real Estate , Real Estate Services
CINEVISTA , Communication Services , Entertainment
CIPLA , Healthcare , Drug Manufacturers-General
CKFSL , Financial Services , Credit Services
CLEDUCATE , Consumer Defensive , Education & Training Services
CLNINDIA , Basic Materials , Specialty Chemicals
CMICABLES , Industrials , Electrical Equipment & Parts
CNOVAPETRO , Consumer Cyclical , Textile Manufacturing
COALINDIA , Energy , Thermal Coal
COCHINSHIP , Industrials , Aerospace & Defense
COFFEEDAY , Consumer Cyclical , Restaurants
COLPAL , Consumer Defensive , Household & Personal Products
COMPINFO , Technology , Electronics & Computer Distribution
COMPUSOFT , Consumer Defensive , Education & Training Services
CONCOR , Industrials , Railroads
CONFIPET ,  , 
CONSOFINVT , Financial Services , Capital Markets
CONTROLPR , Industrials , Business Equipment & Supplies
CORALFINAC , Consumer Cyclical , Residential Construction
CORDSCABLE , Industrials , Electrical Equipment & Parts
COROMANDEL , Basic Materials , Agricultural Inputs
COSMOFILMS , Consumer Cyclical , Packaging & Containers
COUNCODOS , Real Estate , Real Estate-Development
COX&KINGS , Consumer Cyclical , Travel Services
CREATIVE , Technology , Electronics & Computer Distribution
CREATIVEYE , Communication Services , Entertainment
CREDITACC , Financial Services , Credit Services
CREST , Financial Services , Financial Conglomerates
CRISIL , Financial Services , Financial Data & Stock Exchanges
CROMPTON , Consumer Cyclical , Furnishings Fixtures & Appliances
CSBBANK , Financial Services , Banks-Regional
CTE , Technology , Information Technology Services
CUB , Financial Services , Banks-Regional
CUBEXTUB , Basic Materials , Copper
CUMMINSIND , Industrials , Specialty Industrial Machinery
CUPID , Consumer Defensive , Household & Personal Products
CYBERTECH , Technology , Information Technology Services
CYIENT , Industrials , Conglomerates
DAAWAT , Consumer Defensive , Packaged Foods
DABUR , Consumer Defensive , Household & Personal Products
DALBHARAT , Basic Materials , Building Materials
DALMIASUG , Consumer Defensive , Confectioners
DAMODARIND , Consumer Cyclical , Textile Manufacturing
DATAMATICS , Industrials , Specialty Business Services
DBCORP , Communication Services , Publishing
DBL , Industrials , Engineering & Construction
DBREALTY , Real Estate , Real Estate-Development
DBSTOCKBRO , Financial Services , Capital Markets
DCAL , Healthcare , Biotechnology
DCBBANK , Financial Services , Banks-Regional
DCM , Consumer Cyclical , Textile Manufacturing
DCMFINSERV , Financial Services , Credit Services
DCMNVL , Consumer Cyclical , Textile Manufacturing
DCMSHRIRAM , Basic Materials , Specialty Chemicals
DCW , Basic Materials , Chemicals
DECCANCE , Basic Materials , Building Materials
DEEPAKFERT , Basic Materials , Chemicals
DEEPAKNTR , Basic Materials , Chemicals
DEEPIND , Energy , Oil & Gas Equipment & Services
DELTACORP , Consumer Cyclical , Resorts & Casinos
DELTAMAGNT , Industrials , Specialty Industrial Machinery
DEN , Communication Services , Entertainment
DENORA , Industrials , Electrical Equipment & Parts
DFMFOODS , Consumer Defensive , Packaged Foods
DGCONTENT , Communication Services , Internet Content & Information
DHAMPURSUG , Consumer Defensive , Confectioners
DHANBANK , Financial Services , Banks-Regional
DHANUKA , Basic Materials , Agricultural Inputs
DHARSUGAR , Consumer Defensive , Confectioners
DHFL , Financial Services , Mortgage Finance
DHUNINV , Financial Services , Capital Markets
DIAMONDYD , Consumer Defensive , Packaged Foods
DIAPOWER , Industrials , Specialty Industrial Machinery
DICIND , Basic Materials , Specialty Chemicals
DIGISPICE , Technology , Information Technology Services
DIGJAMLTD , Consumer Cyclical , Textile Manufacturing
DISHTV , Communication Services , Entertainment
DIVISLAB , Healthcare , Drug Manufacturers-Specialty & Generic
DIXON , Technology , Consumer Electronics
DLF , Real Estate , Real Estate-Diversified
DLINKINDIA , Technology , Communication Equipment
DMART , Consumer Defensive , Discount Stores
DNAMEDIA , Communication Services , Publishing
DOLAT , Financial Services , Capital Markets
DOLLAR , Consumer Cyclical , Apparel Manufacturing
DOLPHINOFF , Energy , Oil & Gas Equipment & Services
DONEAR , Consumer Cyclical , Textile Manufacturing
DPSCLTD , Utilities , Utilities-Regulated Electric
DPWIRES , Industrials , Metal Fabrication
DQE , Communication Services , Entertainment
DREDGECORP , Industrials , Engineering & Construction
DRREDDY , Healthcare , Drug Manufacturers-Specialty & Generic
DSSL , Technology , Information Technology Services
DTIL , Consumer Defensive , Packaged Foods
DUCON , Industrials , Specialty Industrial Machinery
DVL , Financial Services , Capital Markets
DWARKESH , Consumer Defensive , Confectioners
DYNAMATECH , Consumer Cyclical , Auto Parts
DYNPRO , Basic Materials , Specialty Chemicals
EASTSILK , Consumer Cyclical , Textile Manufacturing
EASUNREYRL , Industrials , Specialty Industrial Machinery
EBIXFOREX , Financial Services , Capital Markets
ECLERX , Technology , Information Technology Services
EDELWEISS , Financial Services , Capital Markets
EDL , Consumer Defensive , Beverages-Brewers
EDUCOMP , Consumer Defensive , Education & Training Services
EICHERMOT , Consumer Cyclical , Auto Manufacturers
EIDPARRY , Consumer Defensive , Confectioners
EIHAHOTELS , Consumer Cyclical , Lodging
EIHOTEL , Consumer Cyclical , Lodging
EIMCOELECO , Industrials , Farm & Heavy Construction Machinery
EKC , Industrials , Specialty Industrial Machinery
ELECON , Industrials , Specialty Industrial Machinery
ELECTCAST , Basic Materials , Steel
ELECTHERM , Industrials , Metal Fabrication
ELGIEQUIP , Industrials , Specialty Industrial Machinery
ELGIRUBCO , Consumer Cyclical , Auto Parts
EMAMILTD , Consumer Defensive , Household & Personal Products
EMAMIPAP ,  , 
EMAMIREAL , Real Estate , Real Estate-Development
EMCO , Industrials , Specialty Industrial Machinery
EMKAY , Financial Services , Capital Markets
EMMBI , Consumer Cyclical , Packaging & Containers
ENDURANCE , Consumer Cyclical , Auto Parts
ENERGYDEV , Utilities , Utilities-Regulated Electric
ENGINERSIN , Industrials , Engineering & Construction
ENIL , Communication Services , Broadcasting
EON , Industrials , Specialty Industrial Machinery
EQUITAS , Financial Services , Credit Services
ERIS , Healthcare , Drug Manufacturers-Specialty & Generic
EROSMEDIA , Communication Services , Entertainment
ESABINDIA , Industrials , Tools & Accessories
ESCORTS , Industrials , Farm & Heavy Construction Machinery
ESSARSHPNG , Industrials , Marine Shipping
ESSELPACK , Consumer Cyclical , Packaging & Containers
ESTER , Basic Materials , Specialty Chemicals
EUROCERA , Industrials , Building Products & Equipment
EUROMULTI , Technology , Solar
EUROTEXIND , Consumer Cyclical , Textile Manufacturing
EVEREADY , Industrials , Electrical Equipment & Parts
EVERESTIND , Industrials , Building Products & Equipment
EXCEL , Industrials , Engineering & Construction
EXCELINDUS , Basic Materials , Specialty Chemicals
EXIDEIND , Consumer Cyclical , Auto Parts
EXPLEOSOL , Technology , Information Technology Services
FACT , Basic Materials , Agricultural Inputs
FAIRCHEM , Basic Materials , Specialty Chemicals
FCL , Basic Materials , Specialty Chemicals
FCONSUMER , Consumer Defensive , Food Distribution
FCSSOFT , Technology , Information Technology Services
FDC , Healthcare , Drug Manufacturers-Specialty & Generic
FEDERALBNK , Financial Services , Banks-Regional
FEL , Consumer Cyclical , Department Stores
FELDVR , Consumer Cyclical , Department Stores
FIEMIND , Consumer Cyclical , Auto Parts
FILATEX , Consumer Cyclical , Textile Manufacturing
FINCABLES , Industrials , Electrical Equipment & Parts
FINEORG , Basic Materials , Specialty Chemicals
FINPIPE , Industrials , Building Products & Equipment
FLEXITUFF , Consumer Cyclical , Textile Manufacturing
FLFL , Consumer Cyclical , Apparel Retail
FLUOROCHEM , Basic Materials , Chemicals
FMGOETZE , Consumer Cyclical , Auto Parts
FMNL , Real Estate , Real Estate Services
FORCEMOT , Consumer Cyclical , Auto Manufacturers
FORTIS , Healthcare , Medical Care Facilities
FOSECOIND , Basic Materials , Chemicals
FRETAIL , Consumer Cyclical , Department Stores
FSC , Industrials , Integrated Freight & Logistics
FSL , Technology , Information Technology Services
GABRIEL , Consumer Cyclical , Auto Parts
GAEL , Consumer Defensive , Packaged Foods
GAIL , Utilities , Utilities-Regulated Gas
GAL , Basic Materials , Steel
GALAXYSURF , Basic Materials , Specialty Chemicals
GALLANTT , Basic Materials , Steel
GALLISPAT , Basic Materials , Steel
GAMMNINFRA , Industrials , Infrastructure Operations
GANDHITUBE , Industrials , Metal Fabrication
GANECOS , Consumer Cyclical , Textile Manufacturing
GANESHHOUC , Real Estate , Real Estate-Development
GANGESSECU , Consumer Defensive , Packaged Foods
GARDENSILK , Consumer Cyclical , Textile Manufacturing
GARFIBRES , Consumer Cyclical , Textile Manufacturing
GATI , Industrials , Integrated Freight & Logistics
GAYAHWS , Industrials , Infrastructure Operations
GAYAPROJ , Industrials , Engineering & Construction
GBGLOBAL , Consumer Cyclical , Apparel Manufacturing
GDL , Industrials , Integrated Freight & Logistics
GEECEE , Real Estate , Real Estate-Development
GEEKAYWIRE , Industrials , Electrical Equipment & Parts
GENESYS , Technology , Software-Application
GENUSPAPER , Basic Materials , Paper & Paper Products
GENUSPOWER , Industrials , Electrical Equipment & Parts
GEOJITFSL , Financial Services , Capital Markets
GEPIL , Industrials , Engineering & Construction
GESHIP , Energy , Oil & Gas Midstream
GET&D , Industrials , Specialty Industrial Machinery
GFLLIMITED , Basic Materials , Chemicals
GFSTEELS , Basic Materials , Steel
GHCL , Basic Materials , Chemicals
GICHSGFIN , Financial Services , Mortgage Finance
GICRE , Financial Services , Insurance-Reinsurance
GILLANDERS , Industrials , Conglomerates
GILLETTE , Consumer Defensive , Household & Personal Products
GINNIFILA , Consumer Cyclical , Textile Manufacturing
GIPCL , Utilities , Utilities-Regulated Electric
GISOLUTION , Industrials , Engineering & Construction
GKWLIMITED , Industrials , Specialty Business Services
GLAXO , Healthcare , Drug Manufacturers-General
GLENMARK , Healthcare , Drug Manufacturers-Specialty & Generic
GLFL , Financial Services , Shell Companies
GLOBALVECT , Energy , Oil & Gas Equipment & Services
GLOBOFFS , Industrials , Marine Shipping
GLOBUSSPR , Consumer Defensive , Beverages-Wineries & Distilleries
GMBREW , Consumer Defensive , Beverages-Wineries & Distilleries
GMDCLTD , Energy , Thermal Coal
GMMPFAUDLR , Industrials , Specialty Industrial Machinery
GMRINFRA , Industrials , Airports & Air Services
GNA , Consumer Cyclical , Auto Parts
GNFC , Basic Materials , Chemicals
GOACARBON , Basic Materials , Specialty Chemicals
GOCLCORP ,  , 
GODFRYPHLP , Consumer Defensive , Tobacco
GODREJAGRO,Consumer Defensive,Farm Products
GODREJCP,Consumer Defensive,Household & Personal Products
GODREJIND,Industrials,Conglomerates
GODREJPROP,Real Estate,Real Estate—Diversified
GOENKA,Consumer Cyclical,Luxury Goods
GOKEX,Consumer Cyclical,Apparel Manufacturing
GOKUL,Consumer Defensive,Packaged Foods
GOKULAGRO,Consumer Defensive,Packaged Foods
GOLDENTOBC,Consumer Defensive,Tobacco
GOLDIAM,Consumer Cyclical,Luxury Goods
GOLDTECH,Technology,Information Technology Services
GOODLUCK,Industrials,Metal Fabrication
GPIL,Basic Materials,Steel
GPPL,Industrials,Marine Shipping
GPTINFRA,Industrials,Engineering & Construction
GRANULES,Healthcare,Drug Manufacturers—Specialty & Generic
GRAPHITE,Industrials,Specialty Industrial Machinery
GRASIM,Basic Materials,Building Materials
GRAVITA,Industrials,Metal Fabrication
GREAVESCOT,Industrials,Specialty Industrial Machinery
GREENLAM,Consumer Cyclical,"Furnishings Fixtures & Appliances"
GREENPANEL,Consumer Cyclical,"Furnishings Fixtures & Appliances"
GREENPLY,Basic Materials,Lumber & Wood Production
GREENPOWER,Utilities,Utilities—Independent Power Producers
GRINDWELL,Industrials,Building Products & Equipment
GROBTEA,Consumer Defensive,Farm Products
GRPLTD,Consumer Cyclical,Auto Parts
GRSE,Industrials,Aerospace & Defense
GSCLCEMENT,Basic Materials,Building Materials
GSFC,Basic Materials,Agricultural Inputs
GSPL,Utilities,Utilities—Regulated Gas
GSS,Technology,Information Technology Services
GTL,Technology,Information Technology Services
GTLINFRA,Technology,Communication Equipment
GTNIND,Consumer Cyclical,Textile Manufacturing
GTNTEX,Consumer Cyclical,Textile Manufacturing
GTPL,Communication Services,Entertainment
GUFICBIO,Healthcare,Drug Manufacturers—Specialty & Generic
GUJALKALI,Basic Materials,Chemicals
GUJAPOLLO,Industrials,Specialty Industrial Machinery
GUJGASLTD,Utilities,Utilities—Regulated Gas
GUJRAFFIA,,
GULFOILLUB,Basic Materials,Specialty Chemicals
GULFPETRO,Energy,Oil & Gas Refining & Marketing
GULPOLY,Basic Materials,Chemicals
GVKPIL,Industrials,Airports & Air Services
HAL,Industrials,Aerospace & Defense
HARITASEAT,Consumer Cyclical,Auto Parts
HARRMALAYA,Consumer Defensive,Farm Products
HATHWAY,Communication Services,Entertainment
HATSUN,Consumer Defensive,Packaged Foods
HAVELLS,Industrials,Electrical Equipment & Parts
HAVISHA,Consumer Cyclical,Lodging
HBLPOWER,Industrials,Electrical Equipment & Parts
HBSL,Financial Services,Capital Markets
HCC,Industrials,Engineering & Construction
HCG,Healthcare,Medical Care Facilities
HCL-INSYS,Technology,Electronics & Computer Distribution
HCLTECH,Technology,Information Technology Services
HDFC,Financial Services,Mortgage Finance
HDFCAMC,Financial Services,Asset Management
HDFCBANK,Financial Services,Banks—Regional
HDFCLIFE,Financial Services,Insurance—Life
HDIL,Real Estate,Real Estate—Diversified
HEG,Industrials,Electrical Equipment & Parts
HEIDELBERG,Basic Materials,Building Materials
HERCULES,Industrials,Specialty Industrial Machinery
HERITGFOOD,Consumer Defensive,Food Distribution
HEROMOTOCO,Consumer Cyclical,Auto Manufacturers
HESTERBIO,Healthcare,Drug Manufacturers—Specialty & Generic
HEXATRADEX,Industrials,Specialty Business Services
HEXAWARE,Technology,Information Technology Services
HFCL,Technology,Communication Equipment
HGINFRA,Industrials,Engineering & Construction
HGS,Industrials,Specialty Business Services
HIGHGROUND,Industrials,Engineering & Construction
HIKAL,Healthcare,Drug Manufacturers—Specialty & Generic
HIL,Industrials,Building Products & Equipment
HILTON,Industrials,Metal Fabrication
HIMATSEIDE,Consumer Cyclical,Textile Manufacturing
HINDALCO,Basic Materials,Aluminum
HINDCOMPOS,Consumer Cyclical,Auto Parts
HINDCOPPER,Basic Materials,Copper
HINDMOTORS,Consumer Cyclical,Auto Manufacturers
