UBL,Consumer Defensive,Beverages—Brewers
UCALFUEL,Consumer Cyclical,Auto Parts
UCOBANK,Financial Services,Banks—Regional
UFLEX,Consumer Cyclical,Packaging & Containers
UFO,Communication Services,Entertainment
UGARSUGAR,Consumer Defensive,Confectioners
UJAAS,Technology,Solar
UJJIVAN,Financial Services,Credit Services
UJJIVANSFB,Financial Services,Banks—Regional
ULTRACEMCO,Basic Materials,Building Materials
UMANGDAIRY,Consumer Defensive,Packaged Foods
UMESLTD,Consumer Defensive,Education & Training Services
UNICHEMLAB,Healthcare,Drug Manufacturers—Specialty & Generic
UNIENTER,Basic Materials,Chemicals
UNIONBANK,Financial Services,Banks—Regional
UNIPLY,Basic Materials,Lumber & Wood Production
UNITECH,Real Estate,Real Estate—Diversified
UNITEDTEA,Consumer Defensive,Farm Products
UNITY,Industrials,Engineering & Construction
UNIVCABLES,Industrials,Electrical Equipment & Parts
UNIVPHOTO,Healthcare,Medical Devices
UPL,Basic Materials,Agricultural Inputs
URJA,Technology,Solar
USHAMART,Basic Materials,Steel
UTTAMSTL,Basic Materials,Steel
UTTAMSUGAR,Consumer Defensive,Confectioners
UVSL,Basic Materials,Steel
V2RETAIL,Consumer Cyclical,Apparel Retail
VADILALIND,Consumer Defensive,Packaged Foods
VAIBHAVGBL,Consumer Cyclical,Luxury Goods
VAISHALI,Healthcare,Drug Manufacturers—Specialty & Generic
VAKRANGEE,Technology,Software—Application
VARDHACRLC,Consumer Cyclical,Textile Manufacturing
VARDMNPOLY,Consumer Cyclical,Textile Manufacturing
VARROC,Consumer Cyclical,Auto Parts
VASCONEQ,Industrials,Engineering & Construction
VASWANI,Basic Materials,Steel
VBL,Consumer Defensive,Beverages—Non-Alcoholic
VEDL,Basic Materials,Other Industrial Metals & Mining
VENKEYS,Consumer Defensive,Farm Products
VENUSREM,Healthcare,Drug Manufacturers—Specialty & Generic
VERTOZ,Communication Services,Advertising Agencies
VESUVIUS,Industrials,Specialty Industrial Machinery
VETO,Industrials,Electrical Equipment & Parts
VGUARD,Industrials,Electrical Equipment & Parts
VHL,Financial Services,Credit Services
VICEROY,Consumer Cyclical,Lodging
VIDEOIND,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
VIDHIING,Basic Materials,Specialty Chemicals
VIJIFIN,Financial Services,Credit Services
VIKASECO,Basic Materials,Specialty Chemicals
VIKASMCORP,Basic Materials,Specialty Chemicals
VIKASPROP,Basic Materials,Agricultural Inputs
VIKASWSP,Basic Materials,Specialty Chemicals
VIMTALABS,Healthcare,Diagnostics & Research
VINATIORGA,Basic Materials,Specialty Chemicals
VINDHYATEL,Industrials,Engineering & Construction
VINYLINDIA,Basic Materials,Specialty Chemicals
VIPCLOTHNG,Consumer Cyclical,Apparel Manufacturing
VIPIND,Consumer Cyclical,Footwear & Accessories
VIPULLTD,Real Estate,Real Estate—Diversified
VISAKAIND,Industrials,Building Products & Equipment
VISASTEEL,Basic Materials,Steel
VISHAL,Consumer Cyclical,Textile Manufacturing
VISHNU,Basic Materials,Specialty Chemicals
VISHWARAJ,Consumer Defensive,Confectioners
VIVIDHA,Consumer Cyclical,Textile Manufacturing
VIVIMEDLAB,Basic Materials,Specialty Chemicals
VLSFINANCE,Financial Services,Capital Markets
VMART,Consumer Cyclical,Department Stores
VOLTAMP,Industrials,Electrical Equipment & Parts
VOLTAS,Industrials,Specialty Industrial Machinery
VRLLOG,Industrials,Trucking
VSSL,Basic Materials,Steel
VSTIND,Consumer Defensive,Tobacco
VSTTILLERS,Industrials,Farm & Heavy Construction Machinery
VTL,Consumer Cyclical,Textile Manufacturing
WABAG,Industrials,Waste Management
WABCOINDIA,Consumer Cyclical,Auto Parts
WALCHANNAG,Industrials,Engineering & Construction
WANBURY,Healthcare,Drug Manufacturers—Specialty & Generic
WATERBASE,Consumer Defensive,Packaged Foods
WEBELSOLAR,Technology,Solar
WEIZMANIND,Consumer Cyclical,Textile Manufacturing
WELCORP,Basic Materials,Steel
WELENT,Industrials,Engineering & Construction
WELINV,Consumer Cyclical,Textile Manufacturing
WELSPUNIND,Consumer Cyclical,Textile Manufacturing
WENDT,Industrials,Tools & Accessories
WESTLIFE,Consumer Cyclical,Restaurants
WHEELS,Consumer Cyclical,Auto Parts
WHIRLPOOL,Technology,Consumer Electronics
WILLAMAGOR,Financial Services,Credit Services
WINDMACHIN,Industrials,Specialty Industrial Machinery
WINSOME,Consumer Cyclical,Textile Manufacturing
WIPL,Basic Materials,Lumber & Wood Production
WIPRO,Technology,Information Technology Services
WOCKPHARMA,Healthcare,Drug Manufacturers—Specialty & Generic
WONDERLA,Consumer Cyclical,Leisure
WSI,Industrials,Electrical Equipment & Parts
WSTCSTPAPR,Basic Materials,Paper & Paper Products
